team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Kolkata Knight Riders,222,Royal Challengers Bangalore,82,Indian Premier League1,2008-04-18,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,1.0,61,26,Royal Challengers Bangalore,field
Chennai Super Kings,240,Kings XI Punjab,207,Indian Premier League2,2008-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,2.0,53,63,Chennai Super Kings,bat
Rajasthan Royals,129,Delhi Daredevils,132,Indian Premier League3,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,3.0,40,55,Rajasthan Royals,bat
Mumbai Indians,165,Royal Challengers Bangalore,166,Indian Premier League5,2008-04-20,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,5.0,47,40,Mumbai Indians,bat
Deccan Chargers,110,Kolkata Knight Riders,112,Indian Premier League4,2008-04-20,"Eden Gardens, Kolkata",Kolkata Knight Riders,4.0,39,26,Deccan Chargers,bat
Kings XI Punjab,166,Rajasthan Royals,168,Indian Premier League6,2008-04-21,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,6.0,54,53,Kings XI Punjab,bat
Deccan Chargers,142,Delhi Daredevils,143,Indian Premier League7,2008-04-22,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Daredevils,7.0,25,48,Deccan Chargers,bat
Chennai Super Kings,208,Mumbai Indians,202,Indian Premier League8,2008-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,8.0,53,52,Mumbai Indians,field
Deccan Chargers,214,Rajasthan Royals,217,Indian Premier League9,2008-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,9.0,58,73,Rajasthan Royals,field
Kings XI Punjab,182,Mumbai Indians,116,Indian Premier League10,2008-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,10.0,60,39,Mumbai Indians,field
Royal Challengers Bangalore,135,Rajasthan Royals,138,Indian Premier League12,2008-04-26,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,12.0,57,45,Rajasthan Royals,field
Kolkata Knight Riders,147,Chennai Super Kings,152,Indian Premier League11,2008-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,11.0,61,45,Kolkata Knight Riders,bat
Mumbai Indians,154,Deccan Chargers,155,Indian Premier League14,2008-04-27,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,14.0,27,60,Deccan Chargers,field
Delhi Daredevils,158,Kings XI Punjab,162,Indian Premier League13,2008-04-27,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,13.0,45,55,Delhi Daredevils,bat
Chennai Super Kings,178,Royal Challengers Bangalore,165,Indian Premier League15,2008-04-28,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,15.0,36,45,Chennai Super Kings,bat
Kolkata Knight Riders,137,Mumbai Indians,138,Indian Premier League16,2008-04-29,"Eden Gardens, Kolkata",Mumbai Indians,16.0,40,38,Kolkata Knight Riders,bat
Delhi Daredevils,191,Royal Challengers Bangalore,181,Indian Premier League17,2008-04-30,Feroz Shah Kotla,Delhi Daredevils,17.0,58,55,Royal Challengers Bangalore,field
Deccan Chargers,164,Kings XI Punjab,167,Indian Premier League19,2008-05-01,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kings XI Punjab,19.0,50,41,Kings XI Punjab,field
Rajasthan Royals,196,Kolkata Knight Riders,151,Indian Premier League18,2008-05-01,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,18.0,45,51,Rajasthan Royals,bat
Chennai Super Kings,169,Delhi Daredevils,172,Indian Premier League20,2008-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Daredevils,20.0,47,64,Chennai Super Kings,bat
Kings XI Punjab,178,Kolkata Knight Riders,169,Indian Premier League22,2008-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,22.0,49,31,Kings XI Punjab,bat
Royal Challengers Bangalore,156,Deccan Chargers,153,Indian Premier League21,2008-05-03,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,21.0,46,33,Deccan Chargers,field
Mumbai Indians,162,Delhi Daredevils,133,Indian Premier League23,2008-05-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,23.0,50,37,Delhi Daredevils,field
Chennai Super Kings,109,Rajasthan Royals,110,Indian Premier League24,2008-05-04,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,24.0,38,44,Chennai Super Kings,bat
Royal Challengers Bangalore,126,Kings XI Punjab,127,Indian Premier League25,2008-05-05,"M Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,25.0,26,52,Kings XI Punjab,field
Chennai Super Kings,144,Deccan Chargers,148,Indian Premier League26,2008-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,26.0,34,50,Deccan Chargers,field
Rajasthan Royals,103,Mumbai Indians,104,Indian Premier League27,2008-05-07,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,27.0,48,34,Mumbai Indians,field
Delhi Daredevils,187,Chennai Super Kings,188,Indian Premier League28,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,28.0,50,62,Chennai Super Kings,field
Kolkata Knight Riders,129,Royal Challengers Bangalore,124,Indian Premier League29,2008-05-08,"Eden Gardens, Kolkata",Kolkata Knight Riders,29.0,41,35,Kolkata Knight Riders,bat
Deccan Chargers,140,Rajasthan Royals,141,Indian Premier League30,2008-05-09,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,30.0,50,50,Rajasthan Royals,field
Chennai Super Kings,181,Kings XI Punjab,163,Indian Premier League31,2008-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,31.0,53,35,Kings XI Punjab,field
Kolkata Knight Riders,204,Deccan Chargers,181,Indian Premier League32,2008-05-11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,32.0,43,55,Kolkata Knight Riders,bat
Delhi Daredevils,156,Rajasthan Royals,159,Indian Premier League33,2008-05-11,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,33.0,47,21,Rajasthan Royals,field
Royal Challengers Bangalore,143,Kings XI Punjab,144,Indian Premier League34,2008-05-12,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,34.0,50,42,Royal Challengers Bangalore,bat
Kolkata Knight Riders,133,Delhi Daredevils,110,Indian Premier League35,2008-05-13,"Eden Gardens, Kolkata",Kolkata Knight Riders,35.0,35,37,Kolkata Knight Riders,bat
Chennai Super Kings,156,Mumbai Indians,158,Indian Premier League36,2008-05-14,"Wankhede Stadium, Mumbai",Mumbai Indians,36.0,28,78,Mumbai Indians,field
Delhi Daredevils,194,Deccan Chargers,182,Indian Premier League37,2008-05-15,Feroz Shah Kotla,Delhi Daredevils,37.0,48,71,Deccan Chargers,field
Kolkata Knight Riders,67,Mumbai Indians,68,Indian Premier League38,2008-05-16,"Wankhede Stadium, Mumbai",Mumbai Indians,38.0,27,68,Mumbai Indians,field
Delhi Daredevils,118,Kings XI Punjab,94,Indian Premier League40,2008-05-17,Feroz Shah Kotla,Kings XI Punjab,40.0,68,73,Delhi Daredevils,bat
Rajasthan Royals,197,Royal Challengers Bangalore,132,Indian Premier League39,2008-05-17,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,39.0,51,23,Royal Challengers Bangalore,field
Mumbai Indians,178,Deccan Chargers,153,Indian Premier League42,2008-05-18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Mumbai Indians,42.0,57,32,Deccan Chargers,field
Kolkata Knight Riders,149,Chennai Super Kings,55,Indian Premier League41,2008-05-18,"Eden Gardens, Kolkata",Chennai Super Kings,41.0,35,43,Kolkata Knight Riders,bat
Royal Challengers Bangalore,154,Delhi Daredevils,158,Indian Premier League43,2008-05-19,"M Chinnaswamy Stadium, Bengaluru",Delhi Daredevils,43.0,41,71,Delhi Daredevils,field
Kolkata Knight Riders,147,Rajasthan Royals,150,Indian Premier League44,2008-05-20,"Eden Gardens, Kolkata",Rajasthan Royals,44.0,32,42,Rajasthan Royals,field
Kings XI Punjab,189,Mumbai Indians,188,Indian Premier League45,2008-05-21,"Wankhede Stadium, Mumbai",Kings XI Punjab,45.0,43,68,Mumbai Indians,field
Royal Challengers Bangalore,126,Chennai Super Kings,112,Indian Premier League46,2008-05-21,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,46.0,23,44,Royal Challengers Bangalore,bat
Deccan Chargers,175,Kings XI Punjab,178,Indian Premier League48,2008-05-23,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,48.0,42,74,Kings XI Punjab,field
Mumbai Indians,176,Delhi Daredevils,179,Indian Premier League50,2008-05-24,Feroz Shah Kotla,Delhi Daredevils,50.0,60,56,Delhi Daredevils,field
Rajasthan Royals,211,Chennai Super Kings,201,Indian Premier League49,2008-05-24,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,49.0,67,65,Rajasthan Royals,bat
Deccan Chargers,165,Royal Challengers Bangalore,171,Indian Premier League51,2008-05-25,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bangalore,51.0,41,43,Deccan Chargers,bat
Kings XI Punjab,174,Kolkata Knight Riders,175,Indian Premier League52,2008-05-25,"Eden Gardens, Kolkata",Kolkata Knight Riders,52.0,47,51,Kings XI Punjab,bat
Mumbai Indians,145,Rajasthan Royals,146,Indian Premier League53,2008-05-26,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,53.0,29,36,Rajasthan Royals,field
Deccan Chargers,147,Chennai Super Kings,148,Indian Premier League54,2008-05-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Chennai Super Kings,54.0,26,44,Deccan Chargers,bat
Royal Challengers Bangalore,122,Mumbai Indians,126,Indian Premier League55,2008-05-28,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,55.0,36,39,Mumbai Indians,field
Kings XI Punjab,221,Rajasthan Royals,180,Indian Premier League56,2008-05-28,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,56.0,51,38,Rajasthan Royals,field
Rajasthan Royals,192,Delhi Daredevils,87,Semi Final,2008-05-30,"Wankhede Stadium, Mumbai",Rajasthan Royals,,58,28,Delhi Daredevils,field
Kings XI Punjab,112,Chennai Super Kings,116,Semi Final,2008-05-31,"Wankhede Stadium, Mumbai",Chennai Super Kings,,35,35,Kings XI Punjab,bat
Chennai Super Kings,163,Rajasthan Royals,164,Final,2008-06-01,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,,42,41,Rajasthan Royals,field
Mumbai Indians,165,Chennai Super Kings,146,Indian Premier League1,2009-04-18,Newlands,Mumbai Indians,1.0,40,40,Chennai Super Kings,field
Royal Challengers Bangalore,133,Rajasthan Royals,58,Indian Premier League2,2009-04-18,Newlands,Royal Challengers Bangalore,2.0,29,14,Royal Challengers Bangalore,bat
Kings XI Punjab,104,Delhi Daredevils,58,Indian Premier League3,2009-04-19,Newlands,Delhi Daredevils,3.0,67,58,Delhi Daredevils,field
Kolkata Knight Riders,101,Deccan Chargers,104,Indian Premier League4,2009-04-19,Newlands,Deccan Chargers,4.0,21,37,Kolkata Knight Riders,bat
Chennai Super Kings,179,Royal Challengers Bangalore,87,Indian Premier League5,2009-04-20,St George's Park,Chennai Super Kings,5.0,68,46,Chennai Super Kings,bat
Kings XI Punjab,158,Kolkata Knight Riders,79,Indian Premier League6,2009-04-21,Kingsmead,Kolkata Knight Riders,6.0,46,60,Kolkata Knight Riders,field
Deccan Chargers,184,Royal Challengers Bangalore,160,Indian Premier League8,2009-04-22,Newlands,Deccan Chargers,8.0,62,31,Deccan Chargers,bat
Delhi Daredevils,189,Chennai Super Kings,180,Indian Premier League9,2009-04-23,Kingsmead,Delhi Daredevils,9.0,59,61,Delhi Daredevils,bat
Rajasthan Royals,150,Kolkata Knight Riders,150,Indian Premier League10,2009-04-23,Newlands,Rajasthan Royals,10.0,54,38,Kolkata Knight Riders,field
Royal Challengers Bangalore,168,Kings XI Punjab,173,Indian Premier League11,2009-04-24,Kingsmead,Kings XI Punjab,11.0,49,44,Royal Challengers Bangalore,bat
Deccan Chargers,168,Mumbai Indians,156,Indian Premier League12,2009-04-25,Kingsmead,Deccan Chargers,12.0,55,50,Deccan Chargers,bat
Royal Challengers Bangalore,149,Delhi Daredevils,150,Indian Premier League14,2009-04-26,St George's Park,Delhi Daredevils,14.0,45,43,Royal Challengers Bangalore,bat
Kings XI Punjab,139,Rajasthan Royals,112,Indian Premier League15,2009-04-26,Newlands,Kings XI Punjab,15.0,38,32,Kings XI Punjab,bat
Chennai Super Kings,165,Deccan Chargers,169,Indian Premier League16,2009-04-27,Kingsmead,Deccan Chargers,16.0,62,69,Deccan Chargers,field
Mumbai Indians,187,Kolkata Knight Riders,95,Indian Premier League17,2009-04-27,St George's Park,Mumbai Indians,17.0,61,47,Mumbai Indians,bat
Delhi Daredevils,143,Rajasthan Royals,147,Indian Premier League18,2009-04-28,SuperSport Park,Rajasthan Royals,18.0,42,33,Delhi Daredevils,bat
Kolkata Knight Riders,139,Royal Challengers Bangalore,143,Indian Premier League19,2009-04-29,Kingsmead,Royal Challengers Bangalore,19.0,45,46,Kolkata Knight Riders,bat
Kings XI Punjab,119,Mumbai Indians,116,Indian Premier League20,2009-04-29,Kingsmead,Kings XI Punjab,20.0,26,23,Kings XI Punjab,bat
Deccan Chargers,148,Delhi Daredevils,150,Indian Premier League21,2009-04-30,SuperSport Park,Delhi Daredevils,21.0,37,41,Delhi Daredevils,field
Chennai Super Kings,164,Rajasthan Royals,126,Indian Premier League22,2009-04-30,SuperSport Park,Chennai Super Kings,22.0,40,38,Rajasthan Royals,field
Mumbai Indians,148,Kolkata Knight Riders,139,Indian Premier League23,2009-05-01,Buffalo Park,Mumbai Indians,23.0,40,26,Mumbai Indians,bat
Royal Challengers Bangalore,145,Kings XI Punjab,137,Indian Premier League24,2009-05-01,Kingsmead,Royal Challengers Bangalore,24.0,38,35,Royal Challengers Bangalore,bat
Deccan Chargers,141,Rajasthan Royals,142,Indian Premier League25,2009-05-02,St George's Park,Rajasthan Royals,25.0,39,30,Deccan Chargers,bat
Chennai Super Kings,163,Delhi Daredevils,145,Indian Premier League26,2009-05-02,New Wanderers Stadium,Chennai Super Kings,26.0,53,49,Delhi Daredevils,field
Kolkata Knight Riders,153,Kings XI Punjab,154,Indian Premier League27,2009-05-03,St George's Park,Kings XI Punjab,27.0,28,51,Kolkata Knight Riders,bat
Mumbai Indians,149,Royal Challengers Bangalore,150,Indian Premier League28,2009-05-03,New Wanderers Stadium,Royal Challengers Bangalore,28.0,25,51,Mumbai Indians,bat
Chennai Super Kings,178,Deccan Chargers,100,Indian Premier League29,2009-05-04,Buffalo Park,Chennai Super Kings,29.0,53,52,Chennai Super Kings,bat
Rajasthan Royals,211,Kings XI Punjab,133,Indian Premier League30,2009-05-05,Kingsmead,Rajasthan Royals,30.0,57,29,Kings XI Punjab,field
Kolkata Knight Riders,154,Delhi Daredevils,157,Indian Premier League31,2009-05-05,Kingsmead,Delhi Daredevils,31.0,54,57,Kolkata Knight Riders,bat
Deccan Chargers,145,Mumbai Indians,126,Indian Premier League32,2009-05-06,SuperSport Park,Deccan Chargers,32.0,37,41,Deccan Chargers,bat
Royal Challengers Bangalore,105,Rajasthan Royals,107,Indian Premier League33,2009-05-07,SuperSport Park,Rajasthan Royals,33.0,29,31,Rajasthan Royals,field
Chennai Super Kings,185,Kings XI Punjab,174,Indian Premier League34,2009-05-07,SuperSport Park,Chennai Super Kings,34.0,57,53,Chennai Super Kings,bat
Mumbai Indians,116,Delhi Daredevils,118,Indian Premier League35,2009-05-08,Buffalo Park,Delhi Daredevils,35.0,30,36,Mumbai Indians,bat
Deccan Chargers,168,Kings XI Punjab,169,Indian Premier League36,2009-05-09,De Beers Diamond Oval,Kings XI Punjab,36.0,52,45,Kings XI Punjab,field
Rajasthan Royals,140,Chennai Super Kings,141,Indian Premier League37,2009-05-09,De Beers Diamond Oval,Chennai Super Kings,37.0,34,37,Rajasthan Royals,bat
Mumbai Indians,157,Royal Challengers Bangalore,141,Indian Premier League38,2009-05-10,St George's Park,Mumbai Indians,38.0,46,39,Mumbai Indians,bat
Kolkata Knight Riders,123,Delhi Daredevils,125,Indian Premier League39,2009-05-10,New Wanderers Stadium,Delhi Daredevils,39.0,37,47,Delhi Daredevils,field
Deccan Chargers,166,Rajasthan Royals,113,Indian Premier League40,2009-05-11,De Beers Diamond Oval,Deccan Chargers,40.0,42,30,Deccan Chargers,bat
Kolkata Knight Riders,173,Royal Challengers Bangalore,176,Indian Premier League41,2009-05-12,SuperSport Park,Royal Challengers Bangalore,41.0,38,46,Royal Challengers Bangalore,field
Kings XI Punjab,119,Mumbai Indians,122,Indian Premier League42,2009-05-12,SuperSport Park,Mumbai Indians,42.0,51,42,Kings XI Punjab,bat
Delhi Daredevils,173,Deccan Chargers,161,Indian Premier League43,2009-05-13,Kingsmead,Delhi Daredevils,43.0,56,50,Deccan Chargers,field
Chennai Super Kings,129,Royal Challengers Bangalore,132,Indian Premier League44,2009-05-14,Kingsmead,Royal Challengers Bangalore,44.0,52,33,Chennai Super Kings,bat
Rajasthan Royals,145,Mumbai Indians,143,Indian Premier League45,2009-05-14,Kingsmead,Rajasthan Royals,45.0,42,26,Rajasthan Royals,bat
Delhi Daredevils,120,Kings XI Punjab,123,Indian Premier League46,2009-05-15,OUTsurance Oval,Kings XI Punjab,46.0,38,37,Kings XI Punjab,field
Mumbai Indians,147,Chennai Super Kings,151,Indian Premier League47,2009-05-16,St George's Park,Chennai Super Kings,47.0,49,35,Mumbai Indians,bat
Kolkata Knight Riders,160,Deccan Chargers,166,Indian Premier League48,2009-05-16,New Wanderers Stadium,Deccan Chargers,48.0,31,50,Deccan Chargers,field
Kings XI Punjab,134,Deccan Chargers,133,Indian Premier League49,2009-05-17,New Wanderers Stadium,Kings XI Punjab,49.0,39,46,Deccan Chargers,field
Delhi Daredevils,150,Rajasthan Royals,136,Indian Premier League50,2009-05-17,OUTsurance Oval,Delhi Daredevils,50.0,35,24,Delhi Daredevils,bat
Chennai Super Kings,188,Kolkata Knight Riders,189,Indian Premier League51,2009-05-18,SuperSport Park,Kolkata Knight Riders,51.0,54,56,Chennai Super Kings,bat
Delhi Daredevils,134,Royal Challengers Bangalore,135,Indian Premier League52,2009-05-19,New Wanderers Stadium,Royal Challengers Bangalore,52.0,37,27,Delhi Daredevils,bat
Rajasthan Royals,101,Kolkata Knight Riders,102,Indian Premier League53,2009-05-20,Kingsmead,Kolkata Knight Riders,53.0,46,29,Kolkata Knight Riders,field
Chennai Super Kings,116,Kings XI Punjab,92,Indian Premier League54,2009-05-20,Kingsmead,Chennai Super Kings,54.0,50,29,Chennai Super Kings,bat
Mumbai Indians,165,Delhi Daredevils,166,Indian Premier League55,2009-05-21,SuperSport Park,Delhi Daredevils,55.0,30,60,Delhi Daredevils,field
Royal Challengers Bangalore,170,Deccan Chargers,158,Indian Premier League56,2009-05-21,SuperSport Park,Royal Challengers Bangalore,56.0,33,64,Royal Challengers Bangalore,bat
Delhi Daredevils,153,Deccan Chargers,154,Semi Final,2009-05-22,SuperSport Park,Deccan Chargers,,49,84,Deccan Chargers,field
Chennai Super Kings,146,Royal Challengers Bangalore,149,Semi Final,2009-05-23,New Wanderers Stadium,Royal Challengers Bangalore,,52,59,Royal Challengers Bangalore,field
Deccan Chargers,143,Royal Challengers Bangalore,137,Final,2009-05-24,New Wanderers Stadium,Deccan Chargers,,31,36,Royal Challengers Bangalore,field
Kolkata Knight Riders,161,Deccan Chargers,150,Indian Premier League1,2010-03-12,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,1.0,38,62,Deccan Chargers,field
Mumbai Indians,212,Rajasthan Royals,208,Indian Premier League2,2010-03-13,"Brabourne Stadium, Mumbai",Mumbai Indians,2.0,69,39,Mumbai Indians,bat
Kings XI Punjab,142,Delhi Daredevils,146,Indian Premier League3,2010-03-13,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Delhi Daredevils,3.0,44,39,Delhi Daredevils,field
Royal Challengers Bangalore,135,Kolkata Knight Riders,136,Indian Premier League4,2010-03-14,"Eden Gardens, Kolkata",Kolkata Knight Riders,4.0,24,61,Kolkata Knight Riders,field
Deccan Chargers,190,Chennai Super Kings,159,Indian Premier League5,2010-03-14,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,5.0,57,34,Deccan Chargers,bat
Rajasthan Royals,141,Delhi Daredevils,142,Indian Premier League6,2010-03-15,"Sardar Patel Stadium, Motera",Delhi Daredevils,6.0,47,60,Delhi Daredevils,field
Kings XI Punjab,203,Royal Challengers Bangalore,204,Indian Premier League7,2010-03-16,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,7.0,50,61,Kings XI Punjab,bat
Chennai Super Kings,164,Kolkata Knight Riders,109,Indian Premier League8,2010-03-16,"Eden Gardens, Kolkata",Chennai Super Kings,8.0,31,45,Chennai Super Kings,bat
Mumbai Indians,218,Delhi Daredevils,120,Indian Premier League9,2010-03-17,Feroz Shah Kotla,Mumbai Indians,9.0,67,56,Delhi Daredevils,field
Rajasthan Royals,92,Royal Challengers Bangalore,93,Indian Premier League10,2010-03-18,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,10.0,31,59,Royal Challengers Bangalore,field
Delhi Daredevils,185,Chennai Super Kings,190,Indian Premier League11,2010-03-19,Feroz Shah Kotla,Chennai Super Kings,11.0,52,56,Delhi Daredevils,bat
Deccan Chargers,170,Kings XI Punjab,164,Indian Premier League12,2010-03-19,Barabati Stadium,Deccan Chargers,12.0,56,27,Kings XI Punjab,field
Rajasthan Royals,168,Kolkata Knight Riders,134,Indian Premier League13,2010-03-20,"Sardar Patel Stadium, Motera",Rajasthan Royals,13.0,56,38,Rajasthan Royals,bat
Mumbai Indians,151,Royal Challengers Bangalore,155,Indian Premier League14,2010-03-20,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore,14.0,45,55,Mumbai Indians,bat
Deccan Chargers,171,Delhi Daredevils,161,Indian Premier League15,2010-03-21,Barabati Stadium,Deccan Chargers,15.0,47,48,Deccan Chargers,bat
Kings XI Punjab,136,Chennai Super Kings,136,Indian Premier League16,2010-03-21,"MA Chidambaram Stadium, Chepauk, Chennai",Kings XI Punjab,16.0,38,42,Chennai Super Kings,field
Kolkata Knight Riders,155,Mumbai Indians,156,Indian Premier League17,2010-03-22,"Brabourne Stadium, Mumbai",Mumbai Indians,17.0,41,57,Kolkata Knight Riders,bat
Royal Challengers Bangalore,171,Chennai Super Kings,135,Indian Premier League18,2010-03-23,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,18.0,38,29,Chennai Super Kings,field
Rajasthan Royals,183,Kings XI Punjab,152,Indian Premier League19,2010-03-24,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Rajasthan Royals,19.0,53,76,Kings XI Punjab,field
Chennai Super Kings,180,Mumbai Indians,181,Indian Premier League21,2010-03-25,"Brabourne Stadium, Mumbai",Mumbai Indians,21.0,51,63,Mumbai Indians,field
Delhi Daredevils,183,Royal Challengers Bangalore,166,Indian Premier League20,2010-03-25,"M Chinnaswamy Stadium, Bengaluru",Delhi Daredevils,20.0,64,46,Royal Challengers Bangalore,field
Deccan Chargers,148,Rajasthan Royals,151,Indian Premier League22,2010-03-26,"Sardar Patel Stadium, Motera",Rajasthan Royals,22.0,55,54,Deccan Chargers,bat
Kolkata Knight Riders,183,Kings XI Punjab,144,Indian Premier League23,2010-03-27,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kolkata Knight Riders,23.0,50,42,Kolkata Knight Riders,bat
Rajasthan Royals,177,Chennai Super Kings,160,Indian Premier League24,2010-03-28,"Sardar Patel Stadium, Motera",Rajasthan Royals,24.0,58,58,Rajasthan Royals,bat
Mumbai Indians,172,Deccan Chargers,131,Indian Premier League25,2010-03-28,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,25.0,52,50,Deccan Chargers,field
Delhi Daredevils,177,Kolkata Knight Riders,137,Indian Premier League26,2010-03-29,Feroz Shah Kotla,Delhi Daredevils,26.0,62,36,Delhi Daredevils,bat
Kings XI Punjab,163,Mumbai Indians,164,Indian Premier League27,2010-03-30,"Brabourne Stadium, Mumbai",Mumbai Indians,27.0,48,45,Mumbai Indians,field
Royal Challengers Bangalore,161,Chennai Super Kings,162,Indian Premier League28,2010-03-31,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,28.0,52,56,Royal Challengers Bangalore,bat
Delhi Daredevils,188,Rajasthan Royals,121,Indian Premier League29,2010-03-31,Feroz Shah Kotla,Delhi Daredevils,29.0,52,39,Delhi Daredevils,bat
Kolkata Knight Riders,181,Deccan Chargers,157,Indian Premier League30,2010-04-01,"Eden Gardens, Kolkata",Kolkata Knight Riders,30.0,46,59,Kolkata Knight Riders,bat
Kings XI Punjab,181,Royal Challengers Bangalore,184,Indian Premier League31,2010-04-02,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Royal Challengers Bangalore,31.0,41,51,Kings XI Punjab,bat
Chennai Super Kings,246,Rajasthan Royals,223,Indian Premier League32,2010-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,32.0,66,62,Chennai Super Kings,bat
Mumbai Indians,178,Deccan Chargers,115,Indian Premier League33,2010-04-03,"Brabourne Stadium, Mumbai",Mumbai Indians,33.0,53,40,Mumbai Indians,bat
Kolkata Knight Riders,200,Kings XI Punjab,204,Indian Premier League34,2010-04-04,"Eden Gardens, Kolkata",Kings XI Punjab,34.0,53,69,Kolkata Knight Riders,bat
Delhi Daredevils,184,Royal Challengers Bangalore,147,Indian Premier League35,2010-04-04,Feroz Shah Kotla,Delhi Daredevils,35.0,54,38,Delhi Daredevils,bat
Rajasthan Royals,159,Deccan Chargers,157,Indian Premier League36,2010-04-05,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,36.0,48,52,Rajasthan Royals,bat
Chennai Super Kings,165,Mumbai Indians,141,Indian Premier League37,2010-04-06,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,37.0,42,46,Chennai Super Kings,bat
Kings XI Punjab,153,Rajasthan Royals,157,Indian Premier League38,2010-04-07,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,38.0,52,70,Kings XI Punjab,bat
Kolkata Knight Riders,181,Delhi Daredevils,167,Indian Premier League39,2010-04-07,"Eden Gardens, Kolkata",Kolkata Knight Riders,39.0,50,44,Kolkata Knight Riders,bat
Royal Challengers Bangalore,184,Deccan Chargers,186,Indian Premier League40,2010-04-08,"M Chinnaswamy Stadium, Bengaluru",Deccan Chargers,40.0,46,32,Deccan Chargers,field
Mumbai Indians,154,Kings XI Punjab,158,Indian Premier League41,2010-04-09,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,41.0,51,56,Mumbai Indians,bat
Chennai Super Kings,138,Deccan Chargers,139,Indian Premier League42,2010-04-10,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,42.0,55,37,Chennai Super Kings,bat
Kolkata Knight Riders,160,Royal Challengers Bangalore,162,Indian Premier League43,2010-04-10,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,43.0,61,48,Royal Challengers Bangalore,field
